Intersection Street 1,Intersection Street 2,LATITUDE,LONGITUDE
BOARDWALK DR,NORTHERN DANCER BLVD,43.6642815433755,-79.3101142950599
BOARDWALK DR,WOODBINE PARK TRL,43.6642815433755,-79.3101142950599
NORTHERN DANCER BLVD,WOODBINE PARK TRL,43.6642815433755,-79.3101142950599
NORTHERN DANCER BLVD,WOODBINE PARK TRL,43.6657264639876,-79.3107108161743
NORTHERN DANCER BLVD,WW S QUEEN E NORTHERN DANCER,43.6657264639876,-79.3107108161743
WOODBINE PARK TRL,WW S QUEEN E NORTHERN DANCER,43.6657264639876,-79.3107108161743
BETA ST,EVANS AVE,43.6122156004522,-79.542102455109
BETA ST,EVANS LANE,43.6118415056973,-79.5419437311593
EVANS AVE,THE EAST MALL,43.6118290603187,-79.5438062785168
EVANS AVE,SHELDON AVE,43.6113691456428,-79.5457269851753
EVANS AVE,EVANS W 427 C N RAMP,43.6111976524017,-79.5465033787626
BROWNS LI N EVANS RAMP,EVANS AVE,43.6111437423508,-79.5467474523831
BROWNS LI N EVANS RAMP,BROWNS LI N GARDINER X E RAMP,43.6107376173708,-79.5485796306544
BROWNS LI N EVANS RAMP,EVANS AVE,43.6107376173708,-79.5485796306544
BROWNS LI N GARDINER X E RAMP,EVANS AVE,43.6107376173708,-79.5485796306544
BROCKVILLE ST,FLAGMAN ST,43.6878380880415,-79.2923956495756
BROCKVILLE ST,DRUMMONDVILLE LANE,43.6875304157003,-79.2922674218006
BROCKVILLE ST,ENROUTES ST,43.6875304157003,-79.2922674218006
DRUMMONDVILLE LANE,ENROUTES ST,43.6875304157003,-79.2922674218006
LN S DUNDAS W MANNING,MANNING AVE,43.649811786719,-79.4103283322876
BELLWOODS PL,CLAREMONT ST,43.6496767180348,-79.4110037653952
BELLWOODS PL,LN S DUNDAS W MANNING,43.6496767180348,-79.4110037653952
CLAREMONT ST,LN S DUNDAS W MANNING,43.6496767180348,-79.4110037653952
BROWN'S LINE,EVANS BROWNS LI RAMP,43.6090094836824,-79.5483131107305
BROWN'S LINE,BROWNS LI N GARDINER X E RAMP,43.6094696236819,-79.5483861974459
427 C S BROWNS LI RAMP,BROWN'S LINE,43.6106657347692,-79.5489109126753
427 C S BROWNS LI RAMP,EVANS AVE,43.6106657347692,-79.5489109126753
BROWN'S LINE,EVANS AVE,43.6106657347692,-79.5489109126753
BROWN'S LINE,BROWNS LI N 427 C N RAMP,43.610699501364,-79.5487581291631
BROWN'S LINE,EVANS AVE,43.610699501364,-79.5487581291631
BROWNS LI N 427 C N RAMP,EVANS AVE,43.610699501364,-79.5487581291631
427 C S EVANS RAMP,EVANS AVE,43.6106144531618,-79.5491429550187
427 C S EVANS RAMP,EVANS BROWNS LI RAMP,43.6106144531618,-79.5491429550187
EVANS AVE,EVANS BROWNS LI RAMP,43.6106144531618,-79.5491429550187
SHELDON AVE,SILVERCREST AVE,43.6103776134348,-79.5461263027333
SHELDON AVE,SILVERCREST AVE,43.6105374154127,-79.5454075528927
LANOR AVE,SHELDON AVE,43.6088824603211,-79.5455383394522
HALLMARK AVE,LANOR AVE,43.6090653784305,-79.5446940947926
ALDERBRAE AVE,RIMILTON AVE,43.6048603584761,-79.541722352176
ALDERBRAE AVE,VALERMO DR,43.6070442532169,-79.542664183093
BROWN'S LINE,WHALEY DR,43.6065813946765,-79.5473634577283
GAIR DR,WHALEY DR,43.6058866961639,-79.5504043932375
