Intersection Street 1,Intersection Street 2,LATITUDE,LONGITUDE
Beltline Trl,Tichester Rd,,
Douglas Ave,Jedburgh Rd,,
Bering Ave,Islington Ave,,
Van De Water Cres,Bremner Blvd,,
Islington Ave,Winnipeg Rd,,
Scott Rd,Ypres Rd,,
Humber Bay Park Rd W,Lake Shore Blvd W,,
Carnation Ave,Twenty Sixth St,,
Viamede Cres,Page Ave,,
Highway 401 X E,Highway 401 C E,,
Thames Ave,Westhead Rd,,
Lake Shore Blvd W,Thirty Seventh St,,
Primula Cres,Sombrero Crt,,
Charlton Settlement Ave,Buttonwood Ave,,
Bankfield Dr,Edgebrook Dr,,
Victoria Park Ave,Biggin Crt,,
Rolston Ave,Spruce St,,
Ambercroft Blvd,Hood Cres,,
Government Rd,Kingsway Cres,,
Davenport Rd,Marchmount Rd,,
Ellendale Dr,Wye Valley Rd,,
Avenue Rd,Ridley Blvd,,
Logan Ave,Mortimer Ave,,
Queen St E,Verral Ave,,
Ln N Queen W Jarvis,Richard Bigley Lane,,
Bob Yuill Dr,Isaac Devins Blvd,,
Regatta Rd,Unwin Ave,,
D'Arcy St,Glen Baillie Pl,,
Highway 27 S,Queen's Plate Dr,,
Martin Goodman Trl,Queens Quay  W,,
Lambton Ave,Outlook Garden Blvd,,
Hedges Blvd,Martin Grove Rd,,
Horner Ave,Sheldon Ave,,
Mill St,Brookfield Rd,,
Pape Ave,Dingwall Ave,,
Centennial Park Blvd,Mill Rd,,
Manning Ave,Queen St W,,
Birmingham St,Seventeenth St,,
Bathurst St,Eglinton Ave W,,
Chine Drive Pub.,Chine Dr,,
Ashfield Dr,Gentian Dr,,
St Luke Lane,Breadalbane St,,
Armoury St,Chestnut St,,
Maxome Ave,Steeles Ave E,,
Jay St,Rustic Rd,,
Cambridge Ave,Doncrest Rd,,
Northern Dancer Blvd,Queen St E,,
Goodwill Ave,Wilson Heights Blvd,,
Elmcrest Rd,Rathburn Rd,,
Lake Front,Martin Goodman Trl,,
Delahaye St,Touraine Ave,,
Nursewood Rd,Queen St E,,
Britain St,George St,,
Hannaford St,Kingston Rd,,
Balsam Ave,Kingston Rd,,
Lyall Ave,Osborne Ave,,
Kimberley Ave,Lyall Ave,,
Eastwood Ave,Hollis Ave,,
Gerrard St E,Kimberley Ave,,
Beecroft Rd,Ellerslie Ave,,
Beecroft Rd,Park Home Ave,,
Connaught Crcl,Vaughan Rd,,
Liberty St,Mowat Ave,,
Kingston Rd,Lochleven Dr,,
Neville Park Blvd,Queen St E,,
Latimer Ave,Roselawn Ave,,
Cloverhill Rd,Humber River Recreational Trl,,
Primrose Ave,Queens Ave,,
Conacher Dr,Gustav Cres,,
Monklands Ave,Edmund Ave,,
Eglinton Ave W,Photography Dr,,
Greenock Ave,Scarborough Golf Club Rd,,
Ellerslie Ave,Tamworth Rd,,
Dowling S Lakeshore W Ramp,Lake Shore Blvd W,,
Shandara Cres,Surrey Ave,,
Hayden St,Church St,,
Lanor Ave,Treeview Dr,,
Datchet Rd,Heathrow Dr,,
Humber River Recreational Trl,Conron Pl,,
Wallace Ave,Dufferin St,,
Albion Rd,Barker Ave,,
Bimini Cres,Hullmar Dr,,
Eastern Ave,Trinity St,,
Bater Ave,Burley Ave,,
Parliament St,St David St,,
Stock Ave,The Queensway,,
Galloway Rd,Westlake Rd,,
Coronation Dr,Manse Rd,,
David A Balfour Park Trl,Avoca Ave,,
Penhurst Ave,The Queensway,,
Hounslow Ave,Wynn Rd,,
Jameson Ave,King St W,,
Jedburgh Rd,Woburn Ave,,
Ln 1 W Sherbourne S Richmond,Richmond St E,,
Glencairn Ave,Yonge St,,
Bathurst St,Romney Rd,,
Crouse Rd,Underwriters Rd,,
Bala Ave,Emmett Ave,,
Blaydon Ave,Denbigh Cres,,
Melbert Rd,Rathburn Rd,,
Elfindale Cres,Havenbrook Blvd,,
Renshaw St,Tavistock Rd,,
Finch Ave E,Wilfred Ave,,
Leslie St,Research Rd,,
Laura Rd,Ryewood Dr,,
Avenue Rd,Glengarry Ave,,
Harrison St,Ossington Ave,,
Ellesmere Rd,Watson St,,
Tommy Douglas Gdns,Roselawn Ave,,
Greenspire Rd,Mammoth Hall Trl,,
Hartland Rd,Rangoon Rd,,
Joshua Ave,Moon Valley Dr,,
Braywin Dr,St Phillips Rd,,
Forman Ave,Hillsdale Ave E,,
Langford Ave,Aldwych Ave,,
Barton Ave,Palmerston Ave,,
Collinson Blvd,De Quincy Blvd,,
Gladstone Ave,Waterloo Ave,,
Falstaff Ave,Mayo Dr,,
Dufferin St,Holmesdale Rd,,
Niagara St,Bathurst St,,
Elm Ridge Crcl,Old Park Rd,,
William R Allen Rd N,Aldburn Rd,,
Roper Rd,Warden Ave,,
Lawrence Ave E,Highland Creek,,
Sedgewick Cres,Treverton Dr,,
Sheppard Ave W,Wilson Heights Blvd,,
Harlock Blvd,Maxwell St,,
Highbourne Rd,Oxton Ave,,
Sandcliff Rd,Stoneleigh Rd,,
Berti St,Richmond St E,,
Lawrence Ave E,Brockley Dr,,
Maple Bush Ave,Weston Rd,,
Bainhart Cres,Brimorton Dr,,
Fernbank Ave,Salem Ave,,
Dundas St E,Parliament St,,
Pinegrove Ave,Highview Ave,,
George St S,Wilton St,,
Heintzman St,Dundas St W,,
Jane St,Troutbrooke Dr,,
Adelaide St W,Portugal Sq,,
Sheppard Ave W,Welbeck Rd,,
Brian Ave,Tower Dr,,
Old Lawrence Ave,East Don River Trl,,
Collinson Blvd,Invermay Ave,,
Adelaide St E,George St,,
Mimico Creek Trl,Martin Grove Rd,,
Bartor Rd,Huxley Rd,,
Stanley Greene Blvd,Locust Lodge Gdns,,
St Bedes Rd,Maybourne Ave,,
Giles Crt,Haimer Ave,,
Acland Cres,Deep Dene Dr,,
Courtsfield Cres,North Dr,,
Bartlett Ave N,Davenport Rd,,
Franklin Ave,Botham Rd,,
Quinan Dr,Keele St,,
Hastings Ave,Queen St E,,
Montrose Ave,Dundas St W,,
MacDonell Ave,Wabash Ave,,
Sewell's Rd,Morningview Trl,,
Invergordon Ave,Tineta Cres,,
Donside Dr,Presley Ave,,
Sherwood Ave,Wayne Ave,,
Bathurst St,Hillmount Ave,,
Bathurst St,Verwood Ave,,
Rakely Crt,Eglinton Ave W,,
Ionic Lane,Winston Park Blvd,,
Chester Le Blvd,Pettibone Sq,,
Hillcrest Dr,Tyrrel Ave,,
Arlington Ave,Vaughan Rd,,
Sutherland Dr,Crofton Rd,,
Victoria Park Ave,Swanwick Ave,,
Black Creek,Highway 400 S,,
Faywood Blvd,Norcross Rd,,
Epsom Downs Dr,William Cragg Dr,,
Dallas Rd,Lister Dr,,
Morningside Ave,Dubarry Ave,,
Knotwood Cres,Mantis Rd,,
Bond St,Queen St E,,
Lynedock Cres,Roywood Dr,,
Davenport Rd,Spadina Rd,,
Military Trl,Skyridge Rd,,
Gloucester St,Church St,,
Cordella Ave,Langden Ave,,
Manor Rd E,Servington Cres,,
Bigwood Crt,Painted Post Dr,,
Gloxinia Cres,Timberbank Blvd,,
Drovers Lane,Berkeley St,,
Applefield Dr,Brimley Rd,,
Lake Promenade,Thirty Fifth St,,
Donwoods Dr,St Margarets Dr,,
Avenue Rd,Webster Ave,,
Bramber Rd,Deep Dene Dr,,
Culford Rd,Valencia Cres,,
King St W,Spencer Ave,,
Doonaree Dr,Redwillow Dr,,
Roncesvalles Ave,Fern Ave,,
170 Wickson Trl,Wickson Trl,,
Lawrence Ave E,Collinsgrove Rd,,
Bermondsey Rd,Bartley Dr,,
Inverleigh Dr,The Queensway,,
Carney Rd,Holita Rd,,
Balsam Ave,Pine Ave,,
Esterbrooke Ave,Shaughnessy Blvd,,
Jameson Ave,Laxton Ave,,
Dowry St,Reidmount Ave,,
Dufferin Park Ave,Havelock St,,
Wilson Ave,Beverly Hills Dr,,
Finch Ave E,Beare Rd,,
Gaydon Ave,Highbury Rd,,
Ln N Lake Shore W Fifth,Ln N Lake Shore E Islington,,
Roselawn Ave,Duplex Ave,,
Milner Ave,Scunthorpe Rd,,
Frederick St,Wilton St,,
Chartwell Rd,Elford Blvd,,
Markham Rd,Ormerod St,,
Colonial Ave,McCowan Rd,,
Birmingham St,Islington Ave,,
Rawlinson Ave,Broadway Ave,,
Blackbird Gt,Finch Ave E,,
Highway 400 N,Wilson Ave,,
Westwood Ave,Carlaw Ave,,
Forest Creek Ptwy,Wilcox Creek Ptwy,,
Chester Le Blvd,Huntingdale Blvd,,
Yukon Lane,Kodiak Cres,,
Castlefield Ave,Locksley Ave,,
Cole St,Regent St,,
Mossom Pl,Riverside Dr,,
Belsize Dr,Forman Ave,,
Bamboo Grv,Hamlet Gt,,
Frederick St,The Esplanade,,
Parkwoods Village Dr,York Mills Rd,,
Jeffcoat Dr,Westhumber Blvd,,
Meadowvale Rd,Zoo Rd,,
Lytton Blvd,Proudfoot Ave,,
Hillmount Ave,Marlee Ave,,
Centennial Park Gt,Renforth Dr,,
North Queen St,Vansco Rd,,
Colin Ave,Hillsdale Ave W,,
Bridgend St,Port Union Village Common Trl,,
Islington Ave,Kingsview Blvd,,
Post Rd,The Bridle Path,,
Alpaca Dr,Strandhill Rd,,
Melbourne Ave,Dufferin St,,
Island Rd,Friendship Ave,,
Picking Coke Lane,Cornwall St,,
Cresthaven Dr,Drysdale Cres,,
Mc Caul St,Dundas St W,,
Hollinger Rd,Northdale Blvd,,
Amesbury Dr,Harrow Dr,,
Lady York Ave,Whitley Ave,,
Pitcairn Cres,Wigmore Dr,,
Dupont St,St Clarens Ave,,
Logan Ave,Lake Shore Blvd E,,
Alness St,Dolomite Dr,,
Carlton St,Parliament St,,
Dale Ave,Kingston Rd,,
Dufferin St,Sparrow Ave,,
Victoria Park Ave,Navaho Dr,,
Arran Cres,Maxome Ave,,
Ln N Queen E Elmer,Ln N Queen E Herbert,,
Glasgow Ave,Raleigh Ave,,
Plains Rd,Cadorna Ave,,
Bearbury Dr,Greencoat Rd,,
Beltline Trl,Bathurst St,,
Springdale Blvd,Woodbine Ave,,
Lake Shore Blvd W,Seventeenth St,,
Downsview Park Blvd,Stanley Greene Blvd,,
McNicoll Ave,Hutchcroft Ave,,
Caven St,Nordin Ave,,
Cook Rd,Haynes Ave,,
Fenn Ave,Upper Highland Cres,,
Isabella St,Yonge St,,
Danforth Rd,Linden Ave,,
Old Finch Ave,Reesor Rd,,
Wilson Heights Blvd,Joel Swirsky Blvd,,
Littles Rd,Morningview Trl,,
Highway 401 C E,Dufferin St,,
The Westway,Wincott Dr,,
Centennial Park Blvd,Eglinton Ave W,,
Highland Cres,Upper Highland Cres,,
Greenbriar Rd,Sheppard Ave E,,
Gough Ave,Danforth Ave,,
Chrysler Cres,Townley Ave,,
Glen Park Ave,Hollaman Rd,,
Oak Park Ave,Danforth Ave,,
Edmonton Dr,Ernest Ave,,
Cameron Ave,Pewter Rd,,
San Remo Ter,Evans Ave,,
Bremner Blvd,Rees St,,
Lois Ave,Wenderly Dr,,
Bruce St,Ossington Ave,,
Jopling Ave N,Mervyn Ave,,
Codsell Ave,Hove St,,
Gracehill Crt,John Garland Blvd,,
Amherst Ave,Westmount Ave,,
Bralorne Cres,Crosby Ave,,
Bakersfield St,Sheppard Ave W,,
Coral Gable Dr,Verobeach Blvd,,
Clairton Cres,Scarlett Rd,,
Donlands Ave,Pape Ave,,
Wilson Ave,Ancaster Rd,,
Beverley St,Grange Ave,,
Dupont St,Palmerston Ave,,
Leland Ave,Lothian Ave,,
Moford Cres,Sabrina Dr,,
Alladin Ave,Seabrook Ave,,
Donald Ave,Scott Rd,,
Westmoreland Ave N,Davenport Rd,,
Birchmount Rd,Burcana Rd,,
Beecroft Rd,Kempford Blvd,,
Queens Quay  W,Bishop Tutu Blvd,,
Forbes Rd,Kennedy Rd,,
Kodiak Cres,Sheppard Ave W,,
Helen Lu Rd,Forest Manor Rd,,
Lansdowne Ave,Whytock Ave,,
Salem Ave N,Geary Ave,,
Ironwood Rd,Lanyard Rd,,
Humbercrest Blvd,Humbercrest Point,,
Beaton Ave,Gerrard St E,,
Carl Shepway,Maris Shepway,,
Ben Nevis Dr,Benshire Dr,,
Barkwin Dr,Islington Ave,,
Anneke Rd,Pinegrove Ave,,
Beare Rd,Passmore Ave,,
Dundonald St,Yonge St,,
Goldhawk Trl,Phalen Cres,,
Lake Promenade,Thirty Sixth St,,
Elm Grove Ave,Melbourne Ave,,
Jethro Rd,Minnie Ave,,
D'Arcy Magee Cres,Haviland Dr,,
Cobalt Ave,Ryding Ave,,
Ethel Ave,Gourlay Cres,,
Maitland St,Church St,,
Frederick St,King St E,,
Bangor Rd,Elmhurst Ave,,
Highway 400 N,Finch Ave W,,
Old Park Rd,Shallmar Blvd,,
Ln S Baldwin W Mc Caul,Mc Caul St,,
Rushton Rd,Valewood Ave,,
Humewood Gdns,Rushton Rd,,
Sackville St,Oak St,,
Kenilworth Ave,Kew Beach Cres,,
Ripley Ave,South Kingsway,,
Chalkfarm Dr,Exbury Rd,,
Donora Dr,Dawes Rd,,
Chapman Rd,Scarlett Rd,,
Gormley Ave,Lawton Blvd,,
Glengrove Ave,Lois Ave,,
F G Gardiner Xy W,Islington Ave,,
Isabella St,Church St,,
Trib Highland Creek,Lawson Rd,,
Mc Kenzie Ave,Dale Ave,,
Dixon Rd,Kentroyal Dr,,
Laughton Ave,St Clair Ave W,,
Galloway Rd,Weir Cres,,
401 C E Allen N Ramp,Highway 401 C W,,
Greenwood Ave,Cosburn Ave,,
Highway 401 C E,Conlins Rd,,
Avenue Rd,Tranby Ave,,
Don Mills Rd,Chipping Rd,,
Conlins Rd,Good Rd,,
Newlands Ave,Santamonica Blvd,,
Falwyn Ave,Winona Dr,,
Don Mills Rd,Highway 401 X E,,
Old Park Rd,Ridelle Ave,,
Crendon Dr,Groverdale Rd,,
Humbervale Blvd,Sunnylea Ave W,,
Park St,Vanbrugh Ave,,
401 X W 409 W,Belfield Rd,,
Grosvenor St,Yonge St,,
Millwood Rd,Belle Ayre Blvd,,
Daventry Rd,Dolly Varden Blvd,,
Baycrest Ave,Rajah St,,
Cranleigh Crt,Swindon Rd,,
Haverstock Lane,Pettit Dr,,
Lake Shore Blvd W,Sixteenth St,,
Davenport Rd,Primrose Ave,,
Colonel Danforth Trl,Highland Creek Dr,,
The Elms,Yorkleigh Ave,,
Harbord St,Roxton Rd,,
Northline Rd,Curity Ave,,
Hillborn Ave,Symes Rd,,
Luton Gt,Snowcrest Ave,,
Carlton St,Sumach St,,
Willowvale Lane,Yarmouth Rd,,
Glenvale Blvd,Laird Dr,,
West Humber Trl,Martin Grove Rd,,
Bude St,Oakwood Ave,,
Lloyd Manor Rd,Rathburn Rd,,
Elm Rd,Roe Ave,,
Bramblebrook Ave,Port Royal Trl,,
Ashburnham Rd,Greenlaw Ave,,
Davies Ave,East Don Roadway,,
Pleasant View Dr,Squirewood Rd,,
Crocus Dr,Japonica Rd,,
Brian Dr,Clematis Rd,,
Don Valley Parkway N,Eastern Av E Dvp N Ramp,,
Burrows Hall Blvd,Dowswell Dr,,
Ln N St Clair E Rushton,Ln N St Clair W Rushton,,
Maxome Ave,Laredo Crt,,
Humber College Blvd,John Garland Blvd,,
King St W,Triller Ave,,
Highway 27 N,Steeles Ave W,,
Roslin Ave,Yonge St,,
Riverview Dr,Snowdon Ave,,
Mount Pleasant Rd,Wanless Ave,,
Chatsworth Dr,Duplex Ave,,
Fernwood Park Ave,Fir Ave,,
Rosewell Ave,Castlefield Ave,,
Innisfree Crt,Worthington Cres,,
Highway 427 C N,Rathburn Rd,,
Esther Shiner Blvd,McMahon Dr,,
Manning Ave,Robinson St,,
Cedarcroft Blvd,Torresdale Ave,,
Oakmeadow Blvd,Stonefield Cres,,
Beacham Cres,Wishing Well Dr,,
Bell Manor Dr,Berry Rd,,
Chudleigh Ave,Greer Rd,,
Newgate Rd,Ridelle Ave,,
Westlake Ave,Newmarket Ave,,
Dowling Ave,Queen St W,,
Humberwood Blvd,Humberline Dr,,
Ashbourne Dr,Gaylord Ave,,
Culford Rd,Maple Leaf Dr,,
Adelaide St W,Strachan Ave,,
Blake Ave,Grantbrook St,,
Brunswick Ave,Harbord St,,
Islington Ave,Aberfoyle Cres,,
Drummond St,Royal York Rd,,
Dalcourt Dr,Darlingside Dr,,
Hazelbrae Rd,South Kingsway,,
Huntsmill Blvd,Manilow St,,
Ruddington Dr,Tollerton Ave,,
Kenneth Ave,Empress Ave,,
Leacrest Rd,Mallory Cres,,
Northcrest Rd,Stapleton Dr,,
Broadmead Ave,Neilson Ave,,
Raybould St,Maria St,,
Salonica Rd,Suncrest Dr,,
Cabernet Crcl,Provence Trl,,
Birmingham St,Kipling Ave,,
Church Ave,Dudley Ave,,
Junction Rd,Old Weston Rd,,
Berkeley St,Carlton St,,
Via Italia,Auburn Ave,,
Mewburn Ave,Phillip Ave,,
Carlton St,Ontario St,,
Cedarwood Ave,York Mills Rd,,
Avenue Rd,Cortleigh Blvd,,
Leslie St,Ivy Ave,,
Clonmore Dr,Hunt Club Dr,,
Dufferin St,Samor Rd,,
Crossen Dr,Pleasant Ave,,
Aspenwood Dr,Steeles Ave E,,
Adelaide St W,Stafford St,,
Longbourne Dr,Redgrave Dr,,
Stadium Rd,Little Norway Cres,,
Lake Shore Blvd W,Thirtieth St,,
Bertha Ave,Nancy Ave,,
Calvington Dr,Compton Cres,,
Strathburn Blvd,Sunset Trl,,
Lake Shore Blvd East Trl,Coxwell Ave,,
Hatherley Rd,Woodcroft Cres,,
Lumsden Ave,Chisholm Ave,,
Bruyeres Mews,Bathurst St,,
Kings College Rd,College St,,
Kingston Rd,Neilson Ave,,
Donside Dr,Pitt Ave,,
Bryant St,Codsell Ave,,
Castlewood Rd,St Clements Ave,,
Asterfield Dr,Kingston Rd,,
Birchmount Rd,Chelwood Rd,,
Bocastle Ave,Teddington Park Ave,,
Brampton Rd,Sunvale Dr,,
Blue Springs Rd,Falstaff Ave,,
Rogers Rd,Silverthorn Ave,,
Elderwood Dr,Rosemary Rd,,
Bayview Heights Dr,Noel Ave,,
York Mills Access Ramp,Lesmill Rd,,
Victoria Park Ave,Biscayne Blvd,,
Jackson Ave,King Georges Rd,,
Elford Blvd,Velma Dr,,
Pearson Ave,Roncesvalles Ave,,
Haliburton Ave,Rathburn Rd,,
Lawrence Ave E,Minnacote Ave,,
Cecil St,Ross St,,
Alma Ave,Dufferin St,,
Brimley Rd S,Bluffer's Park Trl,,
Lake Shore Blvd W,Palace Pier Crt,,
Kingston Rd,Kingswood Rd,,
Glenlake Ave,Dundas St W,,
Queen's Dr,Black Creek Dr,,
Keane Ave,Meadowbank Rd,,
Mc Murray Ave,Vine Ave,,
Sammon Ave,Woodington Ave,,
Midland Ave,Park St,,
Dalesford Rd,Wesley St,,
Airview Rd,Taber Rd,,
Blake Ave,Talbot Rd,,
Legion Rd N,Manitoba St,,
Coady Ave,Mallon Ave,,
Columbine Ave,Woodbine Ave,,
Walnut Ave,Wellington St W,,
Bayview Ridge,Valley Rd,,
Victoria Park Ave,Hare Gt,,
Imperial St,Yonge St,,
Richardson Ave,Yore Rd,,
Guildpark Ptwy,Cromwell Rd,,
Airdrie Rd,Millwood Rd,,
Geranium Crt,Cummer Ave,,
Islington Ave,The Kingsway,,
Runnymede Rd,Morningside Ave,,
Dundas St E,Sackville St,,
Otonabee Ave,Willowdale Ave,,
Bicknell Ave,Juliet Cres,,
York University Busway,Murray Ross Pkwy,,
Nealon Ave,Broadview Ave,,
Van Dusen Blvd,Willrod Rd,,
Jane St,Pinehill Cres,,
Fenley Dr,Islington Ave,,
Victoria Park Ave,Medonte Ave,,
Highway 427 X S,Dundas St W,,
Queen St E,Woodfield Rd,,
Waterloo Ave,Wilson Heights Blvd,,
Leslie St,Stonedale Placeway,,
Bocastle Ave,Bowood Ave,,
De Vere Gdns,Dunster Ave,,
Barrington Ave,Coleman Ave,,
Connolly St,Gillespie Ave,,
Garratt Blvd,Regent Rd,,
Munster Ave,Shawbridge Ave,,
Blackstone St,Marshlynn Ave,,
Ballyronan Rd,Hurlingham Cres,,
Prairie Dr,Byng Ave,,
Cleveland St,Soudan Ave,,
Old Oak Dr,Wimbleton Rd,,
Dixon Rd,Tamarack Crcl,,
Lowcrest Blvd,Shrewsbury Sq,,
Bellamy Rd N,Bridlington St,,
Bessborough Dr,Craig Cres,,
Country Club Dr,Royal York Rd,,
Canterbury Rd,St George's Rd,,
Blackthorn Ave,Dunraven Dr,,
Alexmuir Blvd,Newdawn Cres,,
Tecumseth St,Whitaker Ave,,
Martin Grove Rd,Bloor St W,,
Birchcroft Rd,Great Oak Dr,,
Dufferin St,Playfair Ave,,
Fenwick Ave,Mc Connell Ave,,
Ceramic Rd,Le Page Crt,,
Beech Ave,Cedar Ave,,
Alhart Dr,Bankfield Dr,,
Dvp S Eglinton W Ramp,Don Valley Parkway S,,
Sylvan Ave,Rogate Pl,,
Amherst Ave,Lauder Ave,,
Humberwood Blvd,Topbank Dr,,
Dorcot Ave,Stephenfrank Rd,,
Tarlton Rd,Eglinton Ave W,,
Baby Point Cres,Baby Point Rd,,
Hiscock Blvd,Janray Dr,,
Fortune Gt,Janray Dr,,
Balliol St,Martin Rd,,
Sammon Ave,Woodmount Ave,,
Adelaide St E,Princess St,,
Paulson Rd,Trethewey Dr,,
Forty Third St,Lake Shore Blvd W,,
Corinthian Blvd,Pharmacy Ave,,
Garyray Dr,Signet Dr,,
Kenneth Ave,Olive Ave,,
Hubbard Blvd,Maclean Ave,,
Keeler Blvd,Cindy Nicholas Dr,,
Dunraven Dr,Haverson Blvd,,
St Clair Ave E,Brimley Rd,,
Quietbrook Cres,Staines Rd,,
Melita Cres,Wychcrest Ave,,
Ernest Ave,Victoria Park Ave,,
Doris Ave,Byng Ave,,
Hanley St,Priscilla Ave,,
Hymus Rd,Warden Ave,,
Ardmore Rd,Glenayr Rd,,
Edenwood Dr,Rathburn Rd,,
Evans Ave,Paula Blvd,,
Attwell Dr,Belfield Rd,,
Bexley Cres,East Dr,,
Emerson Ave,Wallace Ave,,
Bellamy Rd N,Benleigh Dr,,
Fishleigh Dr,Glen Everest Rd,,
Curtis Cres,Murison Blvd,,
Eldon Ave,Danforth Ave,,
Frater Ave,Woodbine Ave,,
Kingsway Cres,Queen Marys Dr,,
Kevi Lane,Rathburn Rd,,
Highway 401 X W,McCowan Rd,,
Highway 401 X E,McCowan Rd,,
Prospect St,Rose Ave,,
Donlands Ave,Kings Park Blvd,,
Augusta Ave,Baldwin St,,
Wilson Ave,Agate Rd,,
Greenwood Ave,Wagstaff Dr,,
Upjohn Rd,York Mills Rd,,
Summerhill Ave,Summerhill Gdns,,
Bradbrook Rd,Ramsbury Rd,,
Nordin Ave,Ramsbury Rd,,
Bellamy Rd N,Northleigh Dr,,
Colbeck St,Evans Ave,,
Anson Ave,Brimley Rd,,
Highway 427 C S,Rathburn W 427 C S Ramp,,
Kingdom St,Tilden Cres,,
Millwood Rd,Yonge St,,
Armadale Ave,South Kingsway,,
The Queensway,Coe Hill Dr,,
Parliament St,Spruce St,,
Elana Dr,Firgrove Cres,,
Harewood Ave,Sloley Rd,,
Kingsway Cres,Old Dundas St,,
Eglinton Ave E,Cardiff Rd,,
Cardiff Rd,Roehampton Ave,,
Kennard Ave,Wilson Heights Blvd,,
Mill Rd,Toledo Rd,,
Tyrrel Ave,Winona Dr,,
Corby Ave,Gilbert Ave,,
North Park Dr,Keele St,,
Weston Rd N 401 C W Ramp,Highway 401 C W,,
Sunnybrae Cres,Weston Rd,,
Mahoney Ave,Weston Rd,,
William R Allen Rd N,Ridelle Ave,,
Easton Rd,Poyntz Ave,,
St Clair Ave E,Jeanette St,,
Algie Ave,The Queensway,,
Berry Creek Dr,Clearbrooke Crcl,,
Yonge St,Sherwood Ave,,
Mulberry Cres,Winona Dr,,
F G Gardiner Xy E,Ellis Ave,,
Alberta Ave,Tyrrel Ave,,
Ln W Yonge N Wellesley,Wellesley St W,,
Danville Dr,Seneca St,,
King St W,Walnut Ave,,
Berkeley St,Hahn Pl,,
London St,Euclid Ave,,
Craigmont Dr,Cummer Ave,,
The Pond Rd,Hoover Rd,,
Harvie Ave,Rogers Rd,,
Kennedy Rd,Wickware Gt,,
Long Branch Ave,Marina Ave,,
Cowbell Lane,Soudan Ave,,
Geraldine Crt,Lia Cres,,
Pine St,King St,,
The Queensway,Humber River,,
Monkton Ave,Bloor St W,,
Tremont Rd,Bloor St W,,
Black Creek,Weston Rd,,
Dunmurray Blvd,Huntingwood Dr,,
Eastwood Ave,Danforth Ave,,
Greensides Ave,St Clair Ave W,,
Dallner Rd,Kirby Rd,,
Lariviere Rd,Patricia Ave,,
Dundas St E,Hastings Ave,,
Concord Ave,College St,,
Barmac Dr,Garyray Dr,,
Bartlett Ave N,Geary Ave,,
Ln E Borden S Sussex,Albert Jackson Lane,,
King St,George St,,
Hotspur Rd,Neptune Dr,,
Douglas Ave,Elm Rd,,
Wilson Hs N Allen S Ramp,Dresden Rd,,
Keystone Ave,Cedarvale Ave,,
Elinor Ave,Joy Dr,,
Chestnut Pk,Roxborough St E,,
Goodwood Park Cres,Dawes Rd,,
Old Orchard Grv,Barse St,,
Bourdon Ave,Maple Leaf Dr,,
Hartfield Crt,Southway Rd,,
Lockheed Blvd,Westona St,,
Bannerman St,Grovedale Ave,,
Arbor Dell Rd,Hinton Rd,,
Bunnell Cres,Nash Dr,,
Bradstock Rd,Samba Dr,,
Bicknell Ave,Nashville Ave,,
Juniper Ave,Lee Ave,,
Margaret Lane,O'Hara Pl,,
Chryessa Ave,Lambton Ave,,
Don Mills Rd,Highway 401 C E,,
Balding Crt,Medalist Rd,,
Bellamy Rd N,Pandora Crcl,,
Kingslake Rd,Seneca Hill Dr,,
Deer Park Cres,St Clair Ave W,,
Briar Hill Ave,Caldow Rd,,
Pine St,William St,,
Keewatin Ave,Mount Pleasant Rd,,
Renforth Dr,Torrington Dr,,
Blackstone St,Duckworth St,,
Bowan Crt,Bayview Ave,,
Wolverleigh Blvd,Woodbine Ave,,
Albion Rd,West Humber Trl,,
Blue Forest Dr,Wilmington Ave,,
Stadium Rd,Bishop Tutu Blvd,,
Dearham Wood,Galloway Rd,,
Harbord St,Lippincott St,,
Harefield Dr,Hinton Rd,,
Dowling Ave,King St W,,
Benbow Rd,The Westway,,
Dearham Wood,Toynbee Trl,,
Highway 401 X E,Highway 427 N,,
Linsmore Cres,Queensdale Ave,,
Ontario Place Blvd,Remembrance Dr,,
Ellins Ave,Scarlett Rd,,
Meadow Crest Rd,Thompson Ave,,
Molson St,Roxborough St W,,
Prince Edward Dr S,Bethnal Ave,,
Adenmore Rd,Clappison Blvd,,
Bloor St E,Park Rd,,
Havendale Rd,Roker Cres,,
The Queensway,Glendale Ave,,
Don Jail Rdwy,Broadview Ave,,
Bayview Ave,Argonne Cres,,
Deforest Rd,Runnymede Rd,,
Glengrove Ave W,Rosewell Ave,,
215 Manse Rd,Deanscroft Sq,,
Barkdene Hills,Thatcher Ave,,
Clancy Dr,O'Shea Cres,,
Craiglee Dr,Haslam St,,
Lawrence Cres,Lympstone Ave,,
Camberwell Rd,Eglinton Ave W,,
Delano Pl,Ridgemoor Ave,,
Victoria Park Ave,Clintwood Gt,,
Fairlawn Ave,Jedburgh Rd,,
Brimorton Dr,Gaitwin Pl,,
Donside Dr,Pharmacy Ave,,
Boylen St,Woodward Ave,,
Middlefield Rd,Richmond Park Blvd,,
Bridgend St,Vessel Cres,,
Rowntree Ave,Silverthorn Ave,,
Woodmount Ave,Cosburn Ave,,
John Mckenzie Gt,Parkview Ave,,
D'Arcy St,Huron St,,
Via Italia,St Clair Ave W,,
Renfield St,Lawrence Ave W,,
Lansdowne Ave,Shirley St,,
St Helen's Ave,College St,,
Haney Ave,Jane St,,
